数据采集器型号,数采序号
CTS-1/BBAS-2G,5026
CMG-3ESP,T3H32
BBVS-120,G08119VS
BBVS-60,G06135VS
BBVS-60,G06151VS
BBVS-60,G06136VS
BBVS-60,G06150VS
GL－S60,G14928VS
BBVS-60,G08152VS
FSS－3M,11M45
CMG-3ESP,T3H31
FSS-3DBH,697
FBS-3B,592
BBVS-60,G12836VS
FSS-3DBH,781
BBVS-60,G08154VS
BBVS-60,G08156VS
FSS-3DBH,768
FSS-3DBH,894
FSS-3DBH,0A47
BBVS-60DBH,G1002VS
BBVS-60DBH,G14036BH
BBVS-60DBH,G10038BH
BBVS-60,G06191VS
CTS-1,5027
BBVS-60,G12899VS
FSS-3M,15M40
BBVS-60,G04125VS
BBVS-60,G08158VS
BBVS-60,G08139VS
BBVS-60,G12833VS
FSS-3DBH,0A18
BBVS-60,G12900VS
BBVS-60,G08138VS
BKD-2B,10
BKD-2B,19
BKD-2B,24
BKD-2B,28
BKD-2B,30
BKD-2B,41
BKD-2B,44
BBAS-2,G05138AS
ETNA,5121
ETNA,5127
ETNA,5126
ETNA,4281
GDQJ-Ⅱ,246
GDQJ-Ⅱ,235
GDQJ-Ⅱ,229
Altus K2,2317
ETNA,5163
GDQJ-Ⅱ,243
EDAS-24IP,G08559DR3
EDAS-24GN,G10305DR6
EDAS-24IP,G08505DR3
EDAS-24IP,G09146DR3
EDAS-24IP,G08588DR3
EDAS-24GN,G13154DR3
ETNA,5112
EDAS-24IP,G08106DR3
ETNA,5123
EDAS-24IP,G08226DR3
EDAS-24IP,G08225DR3
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,G06127DR6
GDQJ-Ⅱ,240
ETNA,5136
ETNA,5133
ETNA,5117
ETNA,5140
EDAS-24IP,G04104DR6
EDAS-24IP,G09104DR3
EDAS-24IP,
EDAS-24IP,G08573DR3
EDAS-24IP,G06149DR6
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,G04102DR6
EDAS-24GN,G13159DR3
EDAS-24GN,G12259DR3
ETNA,4280
EDAS-24IP,G10189DR3
ETNA,5102
ETNA,4278
EDAS-24IP,G07242DR3
ETNA,5130
GDQJ-Ⅱ,245
GDQJ-Ⅱ,239
GDQJ-Ⅱ,235
EDAS-24IP,G06120DR6
EDAS-24IP,G05127DR6
EDAS-24IP,G08148DR6
EDAS-24GN,G13156DR3
EDAS-24GN,G13157DR3
GDQJ-Ⅱ,248
ETNA,5116
ETNA,5185
EDAS-24IP,G06141DR6
EDAS-24IP,G08137DR6
EDAS-24IP,G08197DR3
EDAS-24IP,
EDAS-24IP,G05142DR6
EDAS-24GN,G12260DR3
GDQJ-Ⅱ,231
EDAS-24IP,G10107DR6
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,
EDAS-24GN,G13552DR6
EDAS-24IP,G08177DR3
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,
EDAS-24GN,G12256DR3
ETNA,5182
ETNA,5171
GDQJ-Ⅱ,232
EDAS-24IP,G05124DR6
EDAS-24GN,G13160DR3
ETNA,5119
EDAS-24IP,G05132DR6
EDAS-24IP,G05106DR3
EDAS-24IP,G10108DR6
EDAS-24IP,G04105DR6
GDQJ-Ⅱ,242
EDAS-24GN,G14664DR6
EDAS-24IP,G04106DR6
EDAS-24IP,G05144DR6
EDAS-24IP,G10106DR6
EDAS-24IP,G04103DR6
EDAS-24IP,
EDAS-24IP,G05125DR6
,
EDAS-24IP,G09111DR3
EDAS-24GN,G14621DR6
EDAS-24GN,G12261DR3
Altus K2,2318
EDAS-24IP,G05101DR3
EDAS-24IP,G05122DR6
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,G07145DR6
EDAS-24IP,G04107DR6
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,G10143DR6
GDQJ-Ⅱ,230
EDAS-24IP,G10181DR3
EDAS-24IP,
EDAS-24IP,G05109DR3
EDAS-24IP,G10109DR6
EDAS-24IP,
EDAS-24GN,G12105DR6
EDAS-24GN,G13554DR6
EDAS-24IP,G10109DR6
EDAS-24IP,
EDAS-24IP,
EDAS-24IP,
EDAS-24GN,
GDQJ-Ⅱ,243
Altus K2,2316
GDQJ-Ⅱ,236
EDAS-24IP,G08507DR3
EDAS-24IP,G08642DR3
EDAS-24IP,G08229DR3
EDAS-24IP,G08535DR3
EDAS-24IP,G05710DR3
EDAS-24IP,G08516DR3
EDAS-24IP,G08549DR3
EDAS-24IP,G08563DR3
EDAS-24GN,G12257DR3
EDAS-24GN,G12258DR3
EDAS-24IP,G05123DR6
EDAS-24IP,
EDAS-24IP,
GDQJ-Ⅱ,241
EDAS-24IP,G04101DR6
EDAS-24IP,
EDAS-24IP,G05664DR3
EDAS-24IP,
EDAS-24GN,G13561DR6
EDAS-24GN,G12104DR6
EDAS-24IP,
GDQJ-Ⅱ,233
GDQJ-Ⅱ,244
ETNA,5111
ETNA,4277
ETNA,4279
K2,2319
K2,2320
K2,2321
GDQJ-Ⅱ,237
SLJ-100FBA-T,205657
SLJ-100FBA-T,205827
SLJ-100FBA-T,205770
SLJ-100FBA-T,205769
SLJ-100FBA-T,205659
SLJ-100FBA-T,205830
SLJ-100FBA-T,205834
ES-T,
SLJ-100FBA-T,205822
SLJ-100FBA-T,205823
BBAS-2,G09161AS
BBAS-2,G09220AS
BBAS-2,G08191AS
BBAS-2,G09160AS
BBAS-2,G08190AS
GL－A2,G13155AS
SLJ-100FBA-T,205819
BBAS-2,G09150AS
SLJ-100FBA-T,205664
BBAS-2,G09186AS
BBAS-2,G09179AS
BBAS-2,
BBAS-2,
BBAS-2,G09178AS
SLJ-100FBA-T,205837
SLJ-100FBA-T,205652
SLJ-100FBA-T,205767
SLJ-100FBA-T,205666
SLJ-100FBA-T,205660
BBAS-2,
BBAS-2,G09270AS
BBAS-2,
BBAS-2,G09261AS
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,G09252AS
BBAS-2,
GL－A2,G13159AS
TDA-33M,A3120525
SLJ-100FBA-T,205768
BBAS-2,G09275AS
SLJ-100FBA-T,205656
SLJ-100FBA-T,205824
BBAS-2,G09171AS
SLJ-100FBA-T,205665
SLJ-100FBA-T,205661
SLJ-100FBA-T,205833
SLJ-100FBA-T,205650
BBAS-2,G09266AS
BBAS-2,G04220AS
BBAS-2,G09268AS
GL－A2,G13156AS
GL－A2,G13157AS
SLJ-100FBA-T,205771
SLJ-100FBA-T,205653
SLJ-100FBA-T,205665
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,139
TDA-33M,A3120519
SLJ-100FBA-T,205663
BBAS-2,G09183AS
BBAS-2,
BBAS-2,
BBAS-2,G09222AS
GL－A2,G13158AS
BBAS-2,G09221AS
BBAS-2,
BBAS-2,
BBAS-2,
TDA-33M,A3120520
SLJ-100FBA-T,205649
SLJ-100FBA-T,205651
SLJ-100FBA-T,205825
BBAS-2,G09171AS
GL－A2,G13161AS
SLJ-100FBA-T,205835
BBAS-2,G09255AS
BBAS-2,G09256AS
BBAS-2,G09252AS
BBAS-2,G09253AS
SLJ-100FBA-T,205829
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,G09191AS
BBAS-2,G09185AS
BBAS-2,
BBAS-2,G09169AS
GL-A2,G13161AS
TDA-33M,A3120518
外置拾震器ES-T,
BBAS-2,G08133AS
BBAS-2,G09148AS
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
BBAS-2,
SLJ-100FBA-T,205821
BBAS-2,G09157AS
BBAS-2,
BBAS-2,G09152AS
BBAS-2,G09251AS
BBAS-2,
GL－A2,G13164AS
GL－A2,
BBAS-2,G09176AS
BBAS-2,
BBAS-2,
BBAS-2,
GL-A2,G13163AS
SLJ-100FBA-T,205831
外置拾震器ES-T,
SLJ-100FBA-T,205647
BBAS-2,G09234AS
BBAS-2,G09207AS
BBAS-2,G09223AS
BBAS-2,G09225AS
BBAS-2,G09230AS
BBAS-2,G09235AS
BBAS-2,G09206AS
BBAS-2,G09224AS
TDA-33M,A3120522
TDA-33M,A3120523
BBAS-2,G09182AS
BBAS-2,G09181AS
BBAS-2,
SLJ-100FBA-T,205836
BBAS-2,
BBAS-2,
BBAS-2,G08192AS
BBAS-2,
BBAS-2,G08194AS
BBAS-2,
BBAS-2,
SLJ-100FBA-T,205654
SLJ-100FBA-T,205828
SLJ-100FBA-T,205837
SLJ-100FBA-T,205832
SLJ-100FBA-T,205660
SLJ-100FBA-T,205658
BBAS-2,G09176AS
BBAS-2,G09174AS
BBAS-2,G09204AS
BBAS-2,G04134AS
BBAS-2,G09269AS
BBAS-2,G09154AS
BBAS-2,G06176AS
SS-Y,231XWHYQ0661
VS,222XWHYQ0526
DSQ,223XWHYQ0445
GM-4,3120IGEA9152
FHD-2,X312JSEA0539
SSQ-2I,X221IOES1071
RZB-2,X232RZB31438
TJ-Ⅱ,2330sd201201
DZW,212XWHYQ1000
CTM-DI,R31137781234
GSM-19F,R31137785678
WYY-1,9100DQYL0445
GM-4,3120IGEA4100
GM-4,3120IGEA4301
CTM-DI,2370010006
G856AX,2370010007
FHD-2,X312JSEA0009
YRY-4,232XWHYQ0254
PET,X212MPET0049
VS,222XWHYQ0506
DSQ,223XWHYQ0118
SS-Y,231XWHYQ0613
RZB-3,X235RZB30701
SSQ-2I,X221IOES1051 
WYY-1,9100DQYL0447
TJ-Ⅱ,2.33026E+11
SSQ-2,X221IOES1004
TJ-Ⅱ,tybg20100402
DSQ,223XWHYQ0416
SS-Y,231XWHYQ0623
WYY-1,9100DQYL0444
EMAOS-L,J351DQYQ3713
zkgd3000,
TJ-Ⅱ,tybn20101103
LN-3A,X411IOES0008
SZW-1A,431320060619/0530
LN-3,J411DQYQ9503
SZW-1,431420060633/J431DQYQ9503
SD-3,J421DQYQ3704
WGK-1,J424DQYQ9503  
DRSW-1,4.1122E+11
DRSW-2,4.3132E+11
DFG-B,J422DQYQ3705
WYY-1,9100DQYL0451
SD-3A,X421IOES5097
TD-92,R42Y37003001
DYM1,R91337003002
PXJ-IC,R41437003003
DYM3,R42Y37003004
RG-BS,R42237003005
FD-105,R42137003001
SP-3400,R42437003010
DDS-11A,R41537003008
XSF-40,R42Y37003009
EMAOS-L, J351DQYQ3706 
zkgd3000,
zkgd3000,
zkgd3000,
FHDZ-M15,3120IGEA1006
VS,222XWHYQ0517
ZD9A-Ⅱ,X341IOES3017
SSQ-2I,X221IOES1003
MINGEO,2370050001
FHD-2,X312JSEA0719
GM-4,3120IGEA0503
G856AX,2370050002
TJ-Ⅱ,tybn20101102
DSQ,223XWHYQ0423
WYY-1,9100DQYL0453
SS-Y,231XWHYQ0635
DZW,J212DQYQ3711
ZD8M,X321IOCD1019
RTP-1,J910DQYQ3711
SSC-4,R92137005002
EY-2,R425SDTC0001
LN-3A,X411IOES0005
SZW-1A,431320060662/0967
SW40-1,M41137038001
PS100,
FHD-2,X312JSEA0612
ZD9A-Ⅱ,X341IOES3327
TJ-Ⅱ,2.33026E+11
EMAOS-H,J352DQYQ3707
EMAOS-L,J351DQYQ3708
DINI12,R24137006001
EY-2,R42537006002
LN-3A,X411IOES0194
SZW-1A,431320060693/0690
SW40-1,M41137031001
DRSW－II,X411DQYQ1528
DRSW－II,X431DQYQ0986
DRSW－II,X431DQYQ0987
DRSW－II,X431DQYQ0979
DRSW－II,X431DQYQ0980
DRSW－II,X411DQYQ1527
DRSW－II,X431DQYQ0990
DRSW－II,X431DQYQ0982
DRSW－II,X431DQYQ0981
DRSW－II,X431DQYQ0997
WYY-1,9100DQYL0120
zkgd3000,
SD-3B,2370217004
ZD9A-Ⅱ,X341IOES3014
ZD8BI,X321IOES2024
WYY-1,9100DQYL0119
FHD-2,X311JSEA6035
SW40-1,M41137037001
LN-3A,X411IOES0128
SZW-1A,4.3132E+11
SZW-1A,4.3132E+11
DRSW－II,"X4X1DQYQ1442
（水位X411DQYQ1405/水温X431DQYQ1442）"
zkgd3000,
DDE-1,4.17053E+11
TJ-Ⅱ,2.33026E+11
WYY-1,9100DQYL0120
CZB-2A,2.25123E+11
RZB-2,X235RZB33701
LN-3A,X411IOES0003
SZW-1A,4.3132E+11
ZD9A-Ⅱ,X341IOES3026
ZD9A-Ⅱ,X341IOES3026
EMAOS-L,J351DQYQ3709
DRSW－II,"X4X1DQYQ1477
（水位X411DQYQ1400/水温X431DQYQ1477）"
TJ-Ⅱ,2.33026E+11
WYY-1,9100DQYL0117
SD-3B,2370217004
RG-BS,2370211029
DRSW－II,"X4X1DQYQ1443
（水位X411DQYQ1406/水温X431DQYQ1443）"
DINI12,R24137019001
EY-2,R42537019002
TJ-Ⅱ,2330sd111205
SZW-1A,431320060554/0592
DRSW－II,"X4X1DQYQ1478
（水位X411DQYQ1404/水温X431DQYQ1478）"
4315102,4.3132E+11
SW40-1,M41137049001
zkgd3000,
zkgd3000,
zkgd3000,
zkgd3000,
FHD-2,X312JSEA0631
ZD9A-Ⅱ,X341IOES3007
TJ-Ⅱ,tybn20110401
EY-2,R42537022001
TJ-Ⅱ,2.33026E+11
zkgd3000,
EMAOS－L,J351DQYQ3711
DRSW－II,"X4X1DQYQ1441
（水位X411DQYQ1409/水温X431DQYQ1441）"
LN-3A,X411IOES0009
SZW-1A,4.3132E+11
ZD9A-Ⅱ,X341IOES3008
FHD-2,X312JSEA0621
WYY-1,9100DQYL0118
GM-4 ,3120IGEA8000
zkgd3000,
zkgd3000,
EMAOS－L,J351DQYQ3711
LN-3A,X411IOES0006
SZW-1A,4.3132E+11
DRSW－II,"X4X1DQYQ1437
（水位X411DQYQ1401/水温X431DQYQ1437）"
DRSW－II,"X4X1DQYQ1440
（水位X411DQYQ1403/水温X431DQYQ140）"
RZB-2,X235RZB31310
DSQ,223XWHYQ0456
SS-Y,231XWHYQ0683
VP,X222WHYQ3029
FHD-2,X312JSEA0617
YRY-2,232XWHYQ0224
TJ-Ⅱ,tybg20100401
ZD9A-Ⅱ,X341IOES3006
FD-105K,R42137029001
PXJ-IC,R41437029002
DDS-11A,R41537029003
SD-3B,2370217004
LN-3A,X411IOES0004
SZW-1A,4.3132E+11
LN-3A,X411IOES0129
SZW-1A,431320060690/0693
SW40-1,M41137036001
DRSW－II,"X4X1DQYQ1439
（水位X411DQYQ1402/水温X431DQYQ1439）"
LN-3A,X411IOES0007
SZW-1A,X431DQYQ0944
SW40-1,M41137039001
DDE-1,4.17053E+11
DRSW－II,X411DQYQ1407
,X431DQYQ0945
TJ-Ⅱ,23302620lg52
TJ-Ⅱ,2.33026E+11
YRY-2,2.32123E+11
zkgd3000,
zkgd3000,
EMAOS－L,372440001
TJ-Ⅱ,2.3302E+11
zkgd3000,0000ZKGD3702
zkgd3000,
EMAOS－L,J351DQYQ3710
DDE-1,4.17053E+11
DDE-1,4.17053E+11
zkgd3000,
zkgd3000,
zkgd3000,
zkgd3000,
zkgd3000,
zkgd3000,
TJ-Ⅱ,2330sd110701
EMAOS－L,J351DQYQ3714
,J431DQYQ3712
LN－3A水位仪1,X411IOES0129
LN－3A水位仪2,X411IOES0005
水位探头1(20m),1407
水位探头2(20m),6091109
水位探头3(40m),6091120
SZW-1A水温仪1,43132006
SZW-1A水温仪2,43132006
SZW-1A水温仪3,43132006
水温探头1,0227（200m）（芯片在）
水温探头2,0554（200m）
水温探头3,0333（200m）
水温探头4,1473（200m）
水温探头5,0833（400m）
水温探头6,0842（500M）（原昌邑线缆拉烂，探头打开密封）（芯片在）
水温探头7,0619（200M）（提不出来）(芯片在）
水温探头8,0662（400M）  (提不出来）（芯片在）
ZD9A-2B地电场仪,X341IOES3447
ZD8B地电阻率仪,
WYY—1A气象三要素,9100DQYL0452
气象三要素气温、气压、降雨量探头,
TJ-II体应变仪主机,
TJ-II体应变仪主机,
TJ-II体应变仪主机,
TJ-II体应变仪主机,
FHD－2B质子矢量磁力仪,
DRSW—1水位水位综合观测仪(附水温、水位探头）,20080707(200米)（芯片在）
DSC-1A公用数采,201109501
